p,genotype,treatment,day,epi,,int1,,int2,,int3,,pet1,,pet2,,pet3,,pet4,,notes
M0002.6,M,0,21,6.53,11/6/14 15:10,2.5,11/6/14 15:10,0,11/6/14 15:10,0,11/6/14 15:10,14.13,11/6/14 15:10,5.61,11/6/14 15:10,0,,0,,
M0002.7,M,0,21,8.78,11/6/14 15:11,1.92,11/6/14 15:11,0,11/6/14 15:11,0,11/6/14 15:11,13.32,11/6/14 15:11,4.41,11/6/14 15:11,0,,0,,
T0002.8,T,0,21,24.59,11/6/14 15:12,12.81,11/6/14 15:12,5.45,11/6/14 15:12,0,11/6/14 15:12,21.34,11/6/14 15:12,17.18,11/6/14 15:13,4.72,11/6/14 15:13,0,,
M0012.1,M,0.001,28,21.95,11/13/14 10:56,15.84,11/13/14 10:56,7.38,11/13/14 10:57,2.18,11/13/14 10:57,38.29,11/13/14 10:57,28.52,11/13/14 10:57,16.07,11/13/14 10:57,2.21,11/13/14 10:58,
T0012.2,T,0.001,28,41.27,11/13/14 10:59,29.1,11/13/14 10:59,20.13,11/13/14 10:59,6.88,11/13/14 10:59,51.69,11/13/14 10:59,28.46,11/13/14 11:00,22.82,11/13/14 11:00,7.81,11/13/14 11:00,
M0012.3,M,0.001,28,26.23,11/13/14 11:01,18.34,11/13/14 11:01,6.89,11/13/14 11:01,1.57,11/13/14 11:01,32.33,11/13/14 11:01,24.46,11/13/14 11:02,8.8,11/13/14 11:02,2.67,11/13/14 11:02,
T0012.4,T,0.001,28,43.23,11/13/14 11:03,27.74,11/13/14 11:03,10.82,11/13/14 11:03,1.37,11/13/14 11:03,37.65,11/13/14 11:03,22.01,11/13/14 11:04,11.41,11/13/14 11:04,1.14,11/13/14 11:04,
T0012.5,T,0.001,28,39.84,11/13/14 11:05,27.87,11/13/14 11:05,31.47,11/13/14 11:05,13.92,11/13/14 11:05,44.17,11/13/14 11:06,35.89,11/13/14 11:06,26.98,11/13/14 11:06,10.97,11/13/14 11:06,
M0012.6,M,0.001,28,21.36,11/13/14 11:07,14.12,11/13/14 11:07,7.59,11/13/14 11:07,2.13,11/13/14 11:07,38.17,11/13/14 11:07,25.99,11/13/14 11:08,18.3,11/13/14 11:08,2.39,11/13/14 11:08,
M0012.7,M,0.001,28,22.94,11/13/14 11:08,12.18,11/13/14 11:09,3.94,11/13/14 11:09,0,11/13/14 11:09,32.74,11/13/14 11:09,18.19,11/13/14 11:09,11.63,11/13/14 11:10,2.25,11/13/14 11:10,
T0012.8,T,0.001,28,25.37,11/13/14 11:10,19.23,11/13/14 11:10,27.44,11/13/14 11:11,21.98,11/13/14 11:11,31.95,11/13/14 11:11,28.8,11/13/14 11:11,28.31,11/13/14 11:11,26.91,11/13/14 11:12,
T0011.1,T,0.001,28,44.07,11/13/14 11:13,29.8,11/13/14 11:13,16.17,11/13/14 11:13,3.46,11/13/14 11:13,41.76,11/13/14 11:14,21.54,11/13/14 11:14,15.74,11/13/14 11:14,2.89,11/13/14 11:14,
M0011.2,M,0.001,28,19.83,11/13/14 11:15,15.09,11/13/14 11:15,8.04,11/13/14 11:15,2.55,11/13/14 11:15,44.59,11/13/14 11:15,20.43,11/13/14 11:16,12.2,11/13/14 11:16,3.67,11/13/14 11:16,
M0011.3,M,0.001,28,20.33,11/13/14 11:16,12.06,11/13/14 11:17,8.71,11/13/14 11:17,2.97,11/13/14 11:17,40.12,11/13/14 11:17,27.07,11/13/14 11:17,16.46,11/13/14 11:18,4.99,11/13/14 11:18,
T0011.4,T,0.001,28,43.05,11/13/14 11:18,12.15,11/13/14 11:19,32.36,11/13/14 11:19,8.35,11/13/14 11:19,35.66,11/13/14 11:19,41.06,11/13/14 11:19,21.52,11/13/14 11:20,12.05,11/13/14 11:20,
M0011.5,M,0.001,28,18.65,11/13/14 11:20,17.18,11/13/14 11:21,11.47,11/13/14 11:21,6.65,11/13/14 11:21,38.39,11/13/14 11:21,29.24,11/13/14 11:21,26.52,11/13/14 11:21,20.53,11/13/14 11:22,
T0011.6,T,0.001,28,46.16,11/13/14 11:22,40.6,11/13/14 11:22,27.06,11/13/14 11:22,12.06,11/13/14 11:23,46.83,11/13/14 11:23,35.31,11/13/14 11:23,23.95,11/13/14 11:23,10.41,11/13/14 11:23,
T0011.7,T,0.001,28,37.45,11/13/14 11:24,34.17,11/13/14 11:24,25.87,11/13/14 11:24,8.49,11/13/14 11:24,37.48,11/13/14 11:25,31.6,11/13/14 11:25,22.47,11/13/14 11:25,11.58,11/13/14 11:25,
M0011.8,M,0.001,28,23.26,11/13/14 11:26,12.61,11/13/14 11:26,4.71,11/13/14 11:26,1.16,11/13/14 11:26,43.05,11/13/14 11:26,23.74,11/13/14 11:27,13.62,11/13/14 11:27,1.6,11/13/14 11:27,
T0001.1,T,0,28,40.04,11/13/14 11:29,32.93,11/13/14 11:30,22.07,11/13/14 11:30,7.96,11/13/14 11:30,35.27,11/13/14 11:30,36.97,11/13/14 11:30,22.23,11/13/14 11:31,6.12,11/13/14 11:31,
M0001.2,M,0,28,22.72,11/13/14 11:31,18.88,11/13/14 11:31,10.55,11/13/14 11:32,2.81,11/13/14 11:32,43.54,11/13/14 11:32,27.09,11/13/14 11:32,11.23,11/13/14 11:32,4.16,11/13/14 11:33,
M0001.3,M,0,28,21.42,11/13/14 11:34,15.02,11/13/14 11:34,8.74,11/13/14 11:34,1.97,11/13/14 11:34,49.63,11/13/14 11:34,33.92,11/13/14 11:35,10.28,11/13/14 11:35,3.63,11/13/14 11:35,
T0001.4,T,0,28,48.21,11/13/14 11:36,35.58,11/13/14 11:36,30.13,11/13/14 11:36,14.08,11/13/14 11:36,40.56,11/13/14 11:36,38.07,11/13/14 11:37,17.53,11/13/14 11:37,11.15,11/13/14 11:37,
